name,id,type_code,total_units,floors,top_month,top_year,tenure,district_code,postcode,streetname,ura_key,transaction_psf,nearest_mrt_distance,enbloc,enbloc_date
DERBY COURT,1868,CONDO,22,0,12,1979,F,D11,309461,Derbyshire Road,DERBY COURT,788,0.49,1,2017-12-13
DUSUN GROVE,1885,CONDO,12,0,12,1986,F,D12,329371,Jalan Dusun,DUSUN GROVE,394,0,1,2010-01-19
BALESTIER COURT,1768,CONDO,16,0,1,1986,F,D12,329191,Jalan Raja Udang,BALESTIER COURT,390,0,1,2007-03-02
HJ HEIGHTS,2217,CONDO,76,5,12,1989,F,D21,597667,Merbok Crescent,HJ HEIGHTS,350,0,1,2006-08-14
ANGULLIA VIEW,1755,APT,24,0,1,1987,F,D09,239975,Augullia Park,ANGULLIA VIEW,800,0,1,2000-03-15
NORTHERN MANSIONS,20987,APT,0,0,,,F,D08,219065,Mergui Road,NORTHERN MANSIONS,,0.65,1,2007-11-20
SHUNFU VILLE,20542,EXCON,0,0,,,L99,D20,570314,Shunfu Road,SHUNFU VILLE,,0.37,1,2016-05-19
SAM LEONG MANSION,2387,APT,0,0,12,1978,F,D08,207899,Sam Leong Road,SAM LEONG MANSION,246,0.5,1,2012-08-27
WESTWOOD APARTMENTS,604,APT,48,0,12,1972,F,D10,248644,Orchard Boulevard,WESTWOOD APARTMENTS,1837,0.88,1,2007-11-22
REGENT COURT,2325,CONDO,49,0,1,1984,F,D12,328190,Serangoon Road,REGENT COURT,1074,0,1,2007-04-03
SIMON COURT,926,TERRA,0,0,12,1970,F,D19,545000,Simon Place,SIMON COURT,514,0,1,2007-06-05
HOW SUN PARK,2039,TERRA,0,0,12,1982,F,D19,538000,How Sun Avenue,HOW SUN PARK,,0.23,1,2017-11-28
CHANCERY GARDEN,1727,CONDO,10,0,12,1996,F,D11,309655,Chancery Hill Road,CHANCERY GARDEN,1170,0.81,1,2013-06-24
MOUNT EMILY TOWER,2220,APT,0,0,12,1977,F,D09,228068,Wilkie Road,MOUNT EMILY TOWER,427,0,1,2006-12-28
GREEN MEADOWS,20923,CONDO,200,0,12,1981,F,D26,787768,Tagore Avenue,GREEN MEADOWS,,1.9,1,2007-03-12
ENG LOK MANSION,190,APT,252,0,12,1980,F,D10,258501,Napier Road,ENG LOK MANSION,1460.1587301587,0,1,2006-03-02
CASA CONTENDERE,1698,CONDO,11,0,12,1986,F,D11,309079,Gilstead Road,"",,0.65,1,2017-11-07
VILLA MARGAUX,2518,APT,31,5,11,1995,F,D10,258712,Keng Chin Road,VILLA MARGAUX,653,0.42,1,2006-09-15
NIM PARK,2249,CONDO,56,4,1,1983,F,D28,807545,Nim Road,NIM PARK,377,0,1,2007-05-26
LINCOLN LODGE,20959,CONDO,98,0,12,1989,F,D11,308380,Khiang Guan Avenue,LINCOLN LODGE,,0.39,1,2007-06-20
AURA PARK,57,APT,28,0,1,1987,F,D10,258859,Holland Road,AURA PARK,1514,0,1,2007-06-20
KOVAN COURT,1353,APT,16,4,1,1981,F,D19,548086,Kovan Road,KOVAN COURT,543,0.62,1,2007-11-27
KOVAN COURT,1353,APT,16,4,1,1981,F,D19,548086,Kovan Road,KOVAN COURT,543,0.62,1,2012-04-13
DRAGON MANSION,1874,CONDO,,,,,F,D02,088641,Spottiswoode Park Road,DRAGON MANSION,582,0,1,2011-11-17
DRAGON MANSION,1874,CONDO,,,,,F,D02,088641,Spottiswoode Park Road,DRAGON MANSION,582,0,1,2009-10-19
PHOENIX COURT,2299,APT,0,0,12,1974,F,D09,238139,Saint Thomas Walk,PHOENIX COURT,933,0,1,2006-10-27
GILLMAN HEIGHTS,2028,CONDO,0,0,,,L99,D04,100001,Gillman Heights,GILLMAN HEIGHTS,270,0,1,2007-02-05
ANGULLIA HEIGHTS,1753,APT,0,0,12,1989,F,D09,239972,Angullia Park,ANGULLIA HEIGHTS,1227,0.33,1,2004-11-16
MAYER MANSION,992,APT,0,0,12,1970,F,D09,239855,Devonshire Road,MAYER MANSION,1545.4,0,1,2006-12-12
MAYER MANSION,992,APT,0,0,12,1970,F,D09,239855,Devonshire Road,MAYER MANSION,1545.4,0,1,2007-06-06
THONG SIA BUILDING,935,APT,37,0,12,1990,F,D09,229922,Bideford Road,THONG SIA BUILDING,1701,0.48,1,2015-07-28
THONG SIA BUILDING,935,APT,37,0,12,1990,F,D09,229922,Bideford Road,THONG SIA BUILDING,1701,0.48,1,2015-07-28
SOPHIA MANSION,21047,APT,19,0,12,1992,F,D09,229977,Adis Road,SOPHIA MANSION,,0.35,1,2012-07-16
AIRVIEW TOWERS,28,APT,96,0,1,1980,F,D09,238097,St Thomas Walk,AIRVIEW TOWERS,692.5,0.52,1,2007-03-30
FAR EAST MANSION,72,APT,0,0,12,1980,F,D09,239325,Kim Yam Road,FAR EAST MANSION,933.17889908257,0,1,2006-07-04
BRADDELL PARK,1263,CONDO,45,0,12,1983,F,D13,359137,Jalan lateh,BRADDELL PARK,795,0.51,1,2011-06-20
SUMMER APARTMENTS,2575,APT,0,0,5,1994,F,D09,238374,River Valley Road,SUMMER APARTMENTS,787,0,1,2007-06-12
PERMAI COURT,2316,CONDO,0,0,,,F,D04,099455,Kampong Bahru Road,PERMAI COURT,,1.01,1,2011-09-22
LAUREL PARK,2123,CORN,32,0,12,1985,F,D19,556782,Lorong Chuan,LAUREL PARK,410,0,1,2007-04-17
TONG WATT MANSION,760,APT,0,0,12,1970,F,D09,238011,Tong Watt Road,TONG WATT MANSION,1629.2857142857,0,1,2007-06-08
SOPHIA APARTMENTS,644,APT,0,5,12,1995,F,D09,229975,Adis Road,SOPHIA APARTMENTS,846.8,0,1,2006-08-03
HILL COURT,888,APT,0,0,12,1970,F,D09,229658,Cairnhill Road,HILL COURT,1038,0,1,2007-03-22
BOON TECK HEIGHTS,1802,CONDO,32,19,1,1987,F,D12,329602,Boon Teck Road,BOON TECK HEIGHTS,431,0,1,2006-04-25
GREEN LODGE,846,CONDO,80,0,12,1984,F,D21,596683,Toh Tuck Road,GREEN LODGE,800,0.72,1,2012-09-13
TANGLIN HOUSE,20251,OFF,0,0,,,"",D10,257940,Stevens Close,TANGLIN HOUSE,1049.3333333333,0,1,2006-11-02
GOODLUCK VIEW,1968,CONDO,48,0,12,1984,F,D21,596720,Toh Tuck Road,GOODLUCK VIEW,365,0,1,2007-06-14
MOUNT SOPHIA APARTMENTS,2223,APT,0,0,12,1980,F,D09,228163,Sophia Road,MOUNT SOPHIA APARTMENTS,521,0,1,2007-02-13
SELETAR GARDEN,2401,TERRA,0,0,,,F,D28,809000,Cactus Road,SELETAR GARDEN,799,1.33,1,2012-03-07
DE ANGELO,1864,CONDO,50,13,1,1989,F,D12,329417,Jalan Datoh,DE ANGELO,376,0.73,1,2007-05-30
HOLLAND CREST,218,CONDO,41,5,12,1990,F,D10,278736,Holland Hill,HOLLAND CREST,1105.0243902439,0,1,2007-03-15
AMBER APARTMENTS,1656,APT,8,0,7,1993,F,D15,439866,Amber Road,AMBER APARTMENTS,726,0,1,2007-02-09
DRAGON VIEW PARK,20878,CONDO,0,0,,,F,D10,249209,Jalan Mutiara,DRAGON VIEW PARK,1666,0.96,1,2005-10-27
SEMBAWANG HILLS ESTATE,192,TERRA,1063,0,,,F,D20,570000,Sembawang Hills Drive,SEMBAWANG HILLS ESTATE,1299,2.12,1,2017-10-10
PENDER COURT,2294,CONDO,48,6,12,1985,F,D04,098729,Wishart Road,PENDER COURT,631,0.46,1,2010-06-11
PENDER COURT,2294,CONDO,48,6,12,1985,F,D04,098729,Wishart Road,PENDER COURT,631,0.46,1,2007-07-03
MAISON ROYALE,2165,APT,20,0,1,1990,F,D11,307740,Surrey Road,MAISON ROYALE,809,0,1,2010-12-07
PEONY MANSION,21009,APT,0,0,12,1978,L999,D07,189624,Bencoolen Street,PEONY MANSION,,0.2,1,2008-05-02
ST MARTIN'S LODGE,21051,CONDO,0,0,,,F,D10,257998,St Martin's Drive,ST MARTIN'S LODGE,,0.99,1,2006-08-23
MUTUAL COURT,2226,APT,0,0,,,L999,D12,328689,Mar Thoma Road,MUTUAL COURT,395,0,1,2007-05-29
MAR THOMA MANSIONS,2174,APT,0,0,12,1995,L999,D12,328716,Mar Thoma Road,MAR THOMA MANSIONS,472,0.71,1,2012-07-13
OLIVIO,246,APT,36,0,12,2002,F,D11,307761,Surrey Road,OLIVIO,907.54545454545,0,1,2006-09-22
FAIRWAYS,877,CONDO,108,0,12,1984,F,D04,109025,Telok Blangah Road,FAIRWAYS,995,0,1,2007-05-16
HILL PARK,2016,APT,26,0,12,1978,F,D11,299274,Jalan Bahasa,HILL PARK,557,0.7,1,2007-11-21
